City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Darien,US,85.48,broken clouds,41.752,-87.974,La Quinta Inn by Wyndham Chicago Willowbrook
100,Port Blair,IN,82.04,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
101,Vao,NC,76.73,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
107,Kavaratti,IN,81.95,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
108,Eydhafushi,MV,81.45,overcast clouds,5.1033,73.0708,Soneva Fushi
109,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
116,Mazagao,BR,80.65,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
119,Kuching,MY,80.82,scattered clouds,1.55,110.3333,Hilton Kuching
120,Sinjai,ID,83.37,few clouds,-5.1241,120.253,Wisma Sandika
128,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
131,Kirakira,SB,86.2,light rain,-10.4544,161.9205,SanBiz Lodge
134,Muli,MV,81.75,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
136,Canutama,BR,75.13,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
139,Minna,NG,75.33,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
141,Hope,US,87.85,clear sky,33.6671,-93.5916,Best Western Hope
147,La Crosse,US,75.33,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
150,Avera,US,81.55,broken clouds,33.194,-82.5271,
154,Rincon,US,77.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
156,Micheweni,TZ,75.97,light rain,-4.9667,39.8333,
159,Nanhai,CN,78.78,broken clouds,30.1282,111.7784,Jingnan Hotel
160,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
161,Kutum,SD,75.85,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
171,Brookhaven,US,78.46,scattered clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
174,Bellefontaine,US,79.5,clear sky,40.3612,-83.7597,Super 8 by Wyndham Bellefontaine
179,Sorong,ID,82.78,broken clouds,-0.8833,131.25,Waigo Splash Hotel
181,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
182,Honiara,SB,85.98,overcast clouds,-9.4333,159.95,Heritage Park Hotel
183,Lhokseumawe,ID,78.44,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
184,Tautira,PF,79.36,overcast clouds,-17.7333,-149.15,Pension Oaoa
187,Isangel,VU,83.07,clear sky,-19.55,169.2667,Tanna Lodge
188,Ormara,PK,81.09,clear sky,25.2088,64.6357,Kenara Colony house for Rent
191,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
195,San Patricio,US,84.92,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
196,Fomboni,KM,80.19,broken clouds,-12.28,43.7425,Auberge les abou
198,Havelock,US,80.02,clear sky,34.8791,-76.9013,Sherwood Motel
199,The Valley,AI,80.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
203,Hithadhoo,MV,83.57,overcast clouds,-0.6,73.0833,Scoop Guest House
208,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
210,Canandaigua,US,77.79,overcast clouds,42.8742,-77.288,The Inn On The Lake
213,Tabou,CI,77.94,overcast clouds,4.423,-7.3528,hotêl doufoulougou
216,Poum,NC,79.59,overcast clouds,-20.2333,164.0167,
218,Ariquemes,BR,77.74,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
225,Banjar,ID,84.0,scattered clouds,-8.19,114.9675,The Hamsa Resort
230,Zachary,US,80.73,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
234,Axim,GH,77.61,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
235,Bandarbeyla,SO,78.78,clear sky,9.4942,50.8122,JABIR HOTEL
236,Eyl,SO,79.77,broken clouds,7.9803,49.8164,Amiin Hotel
237,Evanston,US,86.0,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
241,Mlonggo,ID,82.38,overcast clouds,-6.5333,110.7,Asia Metal Art
245,Kaili,ID,76.01,overcast clouds,-3.4626,120.2147,
248,Thinadhoo,MV,82.74,scattered clouds,0.5333,72.9333,
257,Dingle,PH,83.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
259,Iralaya,HN,79.43,overcast clouds,15.0,-83.2333,Iglesia morava renovada
260,Irondequoit,US,79.0,scattered clouds,43.2134,-77.5797,Hampton Inn Rochester-Irondequoit
263,Martapura,ID,86.09,clear sky,-3.4167,114.85,Montana Hotel Syariah
270,Stamford,US,86.2,scattered clouds,41.0534,-73.5387,Stamford Marriott Hotel & Spa
271,Marsh Harbour,BS,77.4,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
272,Arlit,NE,89.67,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
280,Atar,MR,88.09,few clouds,20.5169,-13.0499,Oumou Elghoura
282,Portland,US,79.56,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
287,Hamilton,US,81.23,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
288,Cayenne,GF,77.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
289,Siguiri,GN,83.44,broken clouds,11.6667,-9.5,
