City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Roros,NO,2022-05-05 18:46:07,62.5747,11.3842,42.64,65,100,4.61
197,Karratha,AU,2022-05-05 18:46:08,-20.7377,116.8463,75.31,37,0,16.06
198,Beloha,MG,2022-05-05 18:46:09,-25.1667,45.05,71.15,77,4,8.88
199,Byron Bay,AU,2022-05-05 18:42:42,-28.65,153.6167,68.94,93,100,7.61
200,Kaeo,NZ,2022-05-05 18:46:10,-35.1,173.7833,60.21,88,59,6.6
201,Ponta Delgada,PT,2022-05-05 18:46:10,37.7333,-25.6667,65.12,77,20,13.8
202,Flinders,AU,2022-05-05 18:46:11,-34.5833,150.8552,52.05,67,1,7.29
203,Gorontalo,ID,2022-05-05 18:46:11,0.5412,123.0595,75.11,95,100,3.58
204,Saint George,US,2022-05-05 18:46:12,37.1041,-113.5841,81.79,18,0,6.91
205,Ust-Nera,RU,2022-05-05 18:46:12,64.5667,143.2,25.07,95,98,5.48
206,Nome,US,2022-05-05 18:43:49,64.5011,-165.4064,36.16,85,0,4.61
207,Augusta,DE,2022-05-05 18:46:13,48.3667,10.8833,60.1,67,0,8.05
208,Prince George,CA,2022-05-05 18:45:48,53.9166,-122.753,46.26,89,75,5.75
209,Sasaram,IN,2022-05-05 18:46:14,24.951,84.0149,87.67,41,91,6.93
210,Sulangan,PH,2022-05-05 18:46:15,11.1373,123.7228,82.8,76,96,10.8
211,Hasaki,JP,2022-05-05 18:46:15,35.7333,140.8333,61.2,80,100,9.91
212,Parana,AR,2022-05-05 18:42:43,-31.732,-60.5238,77.56,49,0,7.27
213,Challans,FR,2022-05-05 18:46:16,46.8436,-1.8749,62.8,82,100,10.54
214,Hervey Bay,AU,2022-05-05 18:46:17,-25.2986,152.8535,73.51,84,3,7.61
215,Vardo,NO,2022-05-05 18:45:47,70.3705,31.1107,35.58,69,0,18.41
216,Kristiinankaupunki,FI,2022-05-05 18:46:17,62.2743,21.376,39.76,85,60,7.76
217,Anderson,US,2022-05-05 18:43:07,34.5334,-82.6499,86.07,47,0,8.05
218,Ayan,RU,2022-05-05 18:46:18,56.45,138.1667,29.12,89,100,2.28
219,Roura,GF,2022-05-05 18:46:19,4.7263,-52.3274,84.11,74,75,8.05
220,Ginda,IN,2022-05-05 18:46:19,30.6945,78.4932,60.62,63,66,4.12
221,Greystones,IE,2022-05-05 18:46:20,53.1408,-6.0631,62.29,76,100,3.76
222,Bousse,BF,2022-05-05 18:46:20,12.6606,-1.8922,96.84,11,100,2.06
223,San Quintin,MX,2022-05-05 18:46:21,30.4833,-115.95,68.65,66,1,12.86
224,Ilulissat,GL,2022-05-05 18:44:14,69.2167,-51.1,24.82,54,0,10.36
225,Castro,BR,2022-05-05 18:46:22,-24.7911,-50.0119,67.55,66,68,2.46
226,Priekule,LV,2022-05-05 18:46:22,56.4468,21.5897,45.72,94,100,5.57
227,Sydney Mines,CA,2022-05-05 18:47:23,46.2367,-60.2177,48.54,93,100,6.91
228,Iqaluit,CA,2022-05-05 18:47:24,63.7506,-68.5145,20.93,62,0,16.11
229,Luba,GQ,2022-05-05 18:47:25,3.4568,8.5547,80.94,84,100,4.36
230,Leningradskiy,RU,2022-05-05 18:47:25,69.3833,178.4167,11.89,95,60,4.45
231,Bedele,ET,2022-05-05 18:47:26,8.456,36.353,64.56,37,100,4.29
232,Sumenep,ID,2022-05-05 18:47:26,-7.0167,113.8667,79.29,85,22,3.65
233,Tuktoyaktuk,CA,2022-05-05 18:47:27,69.4541,-133.0374,24.8,93,100,18.41
234,Airai,TL,2022-05-05 18:44:21,-8.9266,125.4092,59.43,93,42,3.02
235,Shimoda,JP,2022-05-05 18:47:28,34.6667,138.95,58.1,84,100,3.02
236,Fleetwood,GB,2022-05-05 18:47:28,53.9253,-3.0109,59.18,77,0,5.75
237,Paamiut,GL,2022-05-05 18:47:29,61.994,-49.6678,32.34,78,100,3.58
238,Faanui,PF,2022-05-05 18:47:30,-16.4833,-151.75,81.36,73,43,7.36
239,Sungairaya,ID,2022-05-05 18:47:30,0.7,108.9,79.05,87,100,5.39
240,Henties Bay,NA,2022-05-05 18:47:31,-22.116,14.2845,69.1,55,0,7.45
241,Mildura,AU,2022-05-05 18:47:31,-34.2,142.15,40.96,93,0,5.75
242,Guarapuava,BR,2022-05-05 18:47:32,-25.3953,-51.4581,65.95,59,0,4.27
243,Broome,US,2022-05-05 18:47:32,42.2506,-75.833,67.69,36,0,7.0
244,Vermilion,US,2022-05-05 18:47:33,40.1667,-87.7506,55.99,93,100,11.5
245,Beringovskiy,RU,2022-05-05 18:47:34,63.05,179.3167,17.4,85,14,3.51
246,Tiksi,RU,2022-05-05 18:44:22,71.6872,128.8694,2.23,100,92,6.13
247,Charlestown,AU,2022-05-05 18:46:19,-32.95,151.6667,61.74,77,76,1.01
248,Santo Domingo,DO,2022-05-05 18:44:28,18.5001,-69.9886,87.44,67,40,11.5
249,Grindavik,IS,2022-05-05 18:47:35,63.8424,-22.4338,41.47,65,40,25.32
